tot2013,tot2014,tot2015,tot2016,tot2017,tot2018,avwkdy13,avwkdy14,avwkdy15,avwkdy16,avwkdy17,avwkdy18,complex_nm,trains,avwken13,avwken14,avwken15,avwken16,avwken17,avwken18
1218842.0,1274939.0,1221949.0,1188884.0,1373521.0,1149469,3821.0,3959.0,3847.0,3788.0,4547,3755,25 St,R,4500.0,4895.0,4434.0,4071.0,4012,3555
3826400.0,3970318.0,4138929.0,4235509.0,4543305.0,4293364,12059.0,12497.0,12810.0,13180.0,13894,13493,36 St,D N R,13945.0,14553.0,16290.0,16191.0,18871,15943
4210873.0,4120946.0,4199208.0,4138758.0,4323467.0,3906028,13156.0,12835.0,13126.0,13116.0,13962,12560,4 Av /9 St,F G R,15869.0,15711.0,15860.0,14654.0,14351,13111
2251217.0,2323521.0,2321241.0,2228315.0,2390684.0,2251921,6978.0,7208.0,7265.0,7055.0,7877,7205,45 St,R,8689.0,8938.0,8620.0,7805.0,7054,7643
1021409.0,1009971.0,968612.0,1012356.0,986060.0,965643,3308.0,3289.0,3220.0,3336.0,3236,3195,50 St,D,3233.0,3102.0,2672.0,2902.0,2934,2733
2387370.0,2405353.0,2374338.0,2334471.0,1187907.0,2378056,7479.0,7512.0,7458.0,7386.0,3788,7565,53 St,R,8842.0,9007.0,8678.0,8148.0,4009,8258
601931.0,603320.0,595157.0,665488.0,632198.0,650590,1964.0,1981.0,2002.0,2223.0,2106,2185,55 St,D,1824.0,1767.0,1525.0,1758.0,1729,1681
3968334.0,4094658.0,4158863.0,4169280.0,5326789.0,3998207,12506.0,12871.0,13048.0,13144.0,16759,12301,59 St,N R,14372.0,14966.0,15344.0,14917.0,19650,15980
2905400.0,2932926.0,2980366.0,2943272.0,3236816.0,3126475,9389.0,9495.0,9641.0,9731.0,10270,10210,7 Av,B Q,9483.0,9492.0,9731.0,8581.0,11619,9720
3904986.0,3886594.0,3780126.0,3700321.0,3623053.0,3572223,12268.0,12242.0,12049.0,11897.0,11801,11636,7 Av,F G,14456.0,14246.0,13202.0,12325.0,11570,11300
1446020.0,1481633.0,1487929.0,2029479.0,1854361.0,1746966,4538.0,4682.0,4802.0,6501.0,5905,5607,71 St,D,5314.0,5271.0,4808.0,6732.0,6434,5811
1645262.0,1711410.0,1723178.0,1743795.0,1980011.0,1676402,5353.0,5548.0,5608.0,5720.0,6746,5612,77 St,R,5208.0,5509.0,5448.0,5247.0,4881,4553
1949861.0,2041896.0,2043471.0,2137349.0,2032937.0,1901043,6293.0,6617.0,6755.0,6973.0,6565,6177,79 St,D,6358.0,6504.0,5856.0,6494.0,6630,5956
